n	S21	
n	U	
n	S25	
o	S12	 -чий	 -чия	 -чиє	 -чиї	 -чийого	 -чиєї, - до чиєї	 -чийого, - до чийого	 -чиїх, - до чиїх	 -чийому, -чиєму	 -чиїй	 -чийому, -чиєму	 -чиїм	 -чий, -чийого	 -чию	 -чиє	 -чиї, -чиїх	 -чиїм, - з чиїм	 -чиєю, - з чиєю	 -чиїм, - з чиїм	 -чиїми, - з чиїми	на/в -чийому, -чиєму, -чиїм, - на чийому, - на чиєму, - на чиїм	на/в -чиїй, - на чиїй	на/в -чийому, -чиєму, -чиїм, - на чийому, - на чиєму, - на чиїм	на/в -чиїх, - на чиїх	
o	S1/f	 -я	 -і	 -і	 -ь	 -і	 -ям	 -ю	 -і	 -ею	 -ями	на/в -і	на/в -ях	 -е	 -і	
o	S12	 -що	 -чого, - до чого	 -чому	 -що	 -чим, - з чим	 - на чому, - на чім	
o		S12	 -який	 -яка	 -яке	 -які	 -якого, - до якого	 -якої, - до якої	 -якого, - до якого	 -яких, - до яких	 -якому	 -якій	 -якому	 -яким	 -який, -якого	 -яку	 -яке	 -які, -яких	 -яким, - з яким	 -якою, - з якою	 -яким, - з яким	 -якими, - з якими	на/в -якому, -якім, - на якому, - на якім	на/в -якій, - на якій	на/в -якому, -якім, - на якому, - на якім	на/в -яких, - на яких	
o	S1/m	 -		 -а		 -у		 -		 -ом		на/в -у		 -у		
o	S1/f	 -ь	 -і	 -і	 -ей	 -і	 -ям	 -ь	 -і	 -лю	 -ями	на/в -і	на/в -ях	 -е	 -і	
o	S14	 -ий	 -а	 -е	 -і	 -ого	 -ої	 -ого	 -их	 -ому	 -ій	 -ому	 -им	 -ий	 -у	 -е	 -і	 -им	 -ою	 -им	 -ими	на/в -ому, -ім	на/в -ій	на/в -ому, -ім	на/в -их	
o	S1/n	 -я		 -я		 -ю		 -я		 -ям		на/в -і, -ю		 -я		
o	S4/ip	 -увати		 -уймо	 -уй	 -уйте	 -уватиму	 -уватимемо, -уватимем	 -уватимеш	 -уватимете	 -уватиме	 -уватимуть	 -ую	 -уємо, -уєм	 -уєш	 -уєте	 -ує	 -ують			 -ував	 -ували	 -увала	 -увало			 -овано		
o	S1/n	 -		 -		 -		 -		 -		на/в -		 -		
o	S28	 -	 -и	 -а	 -ів	 -ові, -у	 -ам	 -а	 -ів	 -ом	 -ами	при -ові, -і	при -ах	 -е, -	 -и	
o	S4/ip	 -ватися, -ватись		 -ймося, -ймось	 -йся, -йсь	 -йтеся, -йтесь	 -ватимуся, -ватимусь	 -ватимемося, -ватимемось, -ватимемся	 -ватимешся	 -ватиметеся, -ватиметесь	 -ватиметься	 -ватимуться	 -юся, -юсь	 -ємося, -ємось, -ємся	 -єшся	 -єтеся, -єтесь	 -ється	 -ються			 -вався, -вавсь	 -валися, -вались	 -валася, -валась	 -валося, -валось					
o	S1/m	 -		 -у		 -у, -еві		 -		 -ем		на/в -і, -у		 -е		
o	S1/ma	 -	 -и	 -у	 -ів	 -у, -ові	 -ам	 -	 -и	 -ом	 -ами	на/в -і	на/в -ах	 -е	 -и	
o	S1/f	 -а	 -и	 -и	 -	 -і	 -ам	 -у	 -и	 -ою	 -ами	на/в -і	на/в -ах	 -о	 -и	
o	S1/f	 -ка		 -ки		 -ці		 -ку		 -кою		на/в -ці		 -ко		
o	S28	 -	 -і	 -а	 -ів	 -еві, -у	 -ам	 -а	 -ів	 -ем	 -ами	при -еві, -і, -у	при -ах	 -у, -	 -і	
o	S28	 -	 -и	 -а	 -ів	 -ові, -у	 -ам	 -а	 -ів	 -ом	 -ами	при -ові, -у	при -ах	 -у, -	 -и	
o	S1/n	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	на/в -	на/в -	 -	 -	
o	S1/ma	 -	 -и	 -а	 -ів	 -ові, -у	 -ам	 -а	 -ів	 -ом	 -ами	на/в -ові, -у	на/в -ах	 -у	 -и	
o	S4/ip	 -ватися, -ватись									 -ватиметься	 -ватимуться					 -ється	 -ються			 -вався, -вавсь	 -валися, -вались	 -валася, -валась	 -валося, -валось					
o	S1/f	 -ість		 -ості		 -ості		 -ість		 -істю		на/в -ості		 -осте		
o	S4/ip	 -вати									 -ватиме	 -ватимуть					 -є	 -ють			 -вав	 -вали	 -вала	 -вало					
o	S20	 -ий	 -а	 -е	 -і	 -ого	 -ої	 -ого	 -их	 -ому	 -ій	 -ому	 -им	 -ий, -ого	 -у	 -е	 -і, -их	 -им	 -ою	 -им	 -ими	на/в -ому, -ім	на/в -ій	на/в -ому, -ім	на/в -их	
o	S1/f	 -а		 -і		 -і		 -у		 -ею		на/в -і		 -е		
o	S1/f	 -а		 -и		 -і		 -у		 -ою		на/в -і		 -о		
o	S1/m	 -ь	 -і	 -ю	 -ів	 -ю, -еві	 -ям	 -ь	 -і	 -ем	 -ями	на/в -і, -ю	на/в -ях	 -ю	 -і	
o	S1/f	 -а	 -і	 -і	 -	 -і	 -ам	 -у	 -і	 -ею	 -ами	на/в -і	на/в -ах	 -е	 -і	
o	S1/m	 -	 -и	 -у	 -ів	 -у, -ові	 -ам	 -	 -и	 -ом	 -ами	на/в -у	на/в -ах	 -у	 -и	
o	S1/ma	 -	 -і	 -а	 -ів	 -еві, -у	 -ам	 -а	 -ів	 -ем	 -ами	на/в -еві, -у, -і	на/в -ах	 -у	 -і	
o	S1/fa	 -я	 -і	 -і	 -ь	 -і	 -ям	 -ю	 -ь	 -ею	 -ями	на/в -і	на/в -ях	 -е	 -і	
